product_id,manufacturer_name,brand_name,color_name,material_code,color_measured_hex,color_measured_rgb,color_measured_cielab,shopify_url_linkfromset
PCDB-002-181-1,Polymaker,Panchroma Silk PLA,Silk Dark Blue,PLA,,,,
PCDB-002-182-1,Polymaker,Panchroma Silk PLA,Silk Gunmetal Grey,PLA,,,,
PCDB-002-183-1,Polymaker,Panchroma Starlight PLA,Mars,PLA,,,,
PCDB-002-184-1,Polymaker,Panchroma Starlight PLA,Midnight,PLA,,,,
PCDB-002-185-1,Polymaker,Panchroma Starlight PLA,Pulsar,PLA,,,,
PCDB-002-186-1,Polymaker,Panchroma Temp Shift PLA,Green-Lime,PLA,,,,
PCDB-002-187-1,Polymaker,Panchroma Temp Shift PLA,Purple-Pink-Translucent,PLA,,,,
PCDB-002-188-1,Polymaker,Panchroma Translucent PLA,Translucent Cyan,PLA,,,,
PCDB-002-189-1,Polymaker,Panchroma Translucent PLA,Translucent Magenta,PLA,,,,
PCDB-002-190-1,Polymaker,Panchroma Translucent PLA,Translucent Yellow,PLA,,,,
PCDB-002-191-1,Polymaker,Panchroma Translucent PLA,Translucent Grey,PLA,,,,
PCDB-002-192-1,Polymaker,Panchroma Translucent PLA,Translucent Natural,PLA,,,,
PCDB-002-193-1,Polymaker,Panchroma UV Shift PLA,UV Shift Natural,PLA,,,,
PCDB-002-194-1,Polymaker,PolyLite Metallic PLA Pro,Gold,PLA,,,,
PCDB-002-195-1,Polymaker,PolyLite Metallic PLA Pro,Silver,PLA,,,,
PCDB-002-196-1,Polymaker,PolyLite Metallic PLA Pro,Bronze,PLA,,,,
PCDB-002-197-1,Polymaker,PolyLite Metallic PLA Pro,Metallic Blue,PLA,,,,
PCDB-002-198-1,Polymaker,PolyLite Metallic PLA Pro,Metallic Red,PLA,,,,
PCDB-002-199-1,Polymaker,PolyLite Metallic PLA Pro,Metallic Magenta,PLA,,,,
PCDB-002-200-1,Polymaker,PolyLite Metallic PLA Pro,Metallic Chrome,PLA,,,,
PCDB-002-201-1,Polymaker,PolyLite Metallic PLA Pro,Metallic Black,PLA,,,,
PCDB-002-202-1,Polymaker,PolyLite PLA Pro,Black,PLA,,,,
PCDB-002-203-1,Polymaker,PolyLite PLA Pro,White,PLA,,,,
PCDB-002-204-1,Polymaker,PolyLite PLA Pro,Cold White,PLA,,,,
PCDB-002-205-1,Polymaker,PolyLite PLA Pro,Orange,PLA,,,,
PCDB-002-206-1,Polymaker,PolyLite PLA Pro,Army Beige,PLA,,,,
PCDB-002-207-1,Polymaker,PolyLite PLA Pro,Yellow,PLA,,,,
PCDB-002-208-1,Polymaker,PolyLite PLA Pro,Light Yellow,PLA,,,,
PCDB-002-209-1,Polymaker,PolyLite PLA Pro,Army Green,PLA,,,,
PCDB-002-210-1,Polymaker,PolyLite PLA Pro,Light Green,PLA,,,,
PCDB-002-211-1,Polymaker,PolyLite PLA Pro,Green,PLA,,,,
PCDB-002-212-1,Polymaker,PolyLite PLA Pro,Polymaker Teal,PLA,,,,
PCDB-002-213-1,Polymaker,PolyLite PLA Pro,Blue-Green,PLA,,,,
PCDB-002-214-1,Polymaker,PolyLite PLA Pro,Light Blue,PLA,,,,
PCDB-002-215-1,Polymaker,PolyLite PLA Pro,Blue,PLA,,,,
PCDB-002-216-1,Polymaker,PolyLite PLA Pro,Grey,PLA,,,,
PCDB-002-217-1,Polymaker,PolyLite PLA Pro,Purple,PLA,,,,
PCDB-002-218-1,Polymaker,PolyLite PLA Pro,Dark Purple,PLA,,,,
PCDB-002-219-1,Polymaker,PolyLite PLA Pro,Magenta,PLA,,,,
PCDB-002-220-1,Polymaker,PolyLite PLA Pro,Pink,PLA,,,,
PCDB-002-221-1,Polymaker,PolyLite PLA Pro,Light Red,PLA,,,,
PCDB-002-222-1,Polymaker,PolyLite PLA Pro,Red,PLA,,,,
PCDB-002-223-1,Polymaker,PolyLite PLA Pro,Brown,PLA,,,,
PCDB-002-224-1,Polymaker,PolyLite PLA Pro,Dark Grey,PLA,,,,
PCDB-002-225-1,Polymaker,PolyLite PLA Pro,LM Sparkle Green,PLA,,,,
PCDB-002-226-1,Polymaker,PolyLite PLA Pro,3D Print General Flat Dark Earth,PLA,,,,
PCDB-002-227-1,Polymaker,PolyLite PLA-CF,Black,PLA,,,,
PCDB-002-228-1,Polymaker,PolyLite LW-PLA,Black,PLA,,,,
PCDB-002-229-1,Polymaker,PolyLite LW-PLA,White,PLA,,,,
PCDB-002-230-1,Polymaker,PolyLite LW-PLA,Grey,PLA,,,,
PCDB-002-231-1,Polymaker,PolyLite LW-PLA,Wood,PLA,,,,
PCDB-002-232-1,Polymaker,PolyLite LW-PLA,Bright Orange,PLA,,,,
PCDB-002-233-1,Polymaker,PolyLite LW-PLA,Bright Yellow,PLA,,,,
PCDB-002-234-1,Polymaker,PolyLite LW-PLA,Bright Green,PLA,,,,
PCDB-002-235-1,Polymaker,PolyLite LW-PLA,Bright Red,PLA,,,,
PCDB-002-236-1,Polymaker,PolyLite CosPLA,Version A,PLA,,,,
PCDB-002-237-1,Polymaker,PolyLite CosPLA,Version B,PLA,,,,
PCDB-002-238-1,Polymaker,Polymaker Wood PLA,Wood,PLA,,,,
PCDB-002-239-1,Polymaker,Polymaker HT-PLA,Black,PLA,,,,
PCDB-002-240-1,Polymaker,Polymaker HT-PLA,White,PLA,,,,
PCDB-002-241-1,Polymaker,Polymaker HT-PLA,Grey,PLA,,,,
PCDB-002-242-1,Polymaker,Polymaker HT-PLA,Blue,PLA,,,,
PCDB-002-243-1,Polymaker,Polymaker HT-PLA,Red,PLA,,,,
PCDB-002-244-1,Polymaker,Polymaker HT-PLA,Green,PLA,,,,
PCDB-002-245-1,Polymaker,Polymaker HT-PLA,Yellow,PLA,,,,
PCDB-002-246-1,Polymaker,Polymaker HT-PLA,Orange,PLA,,,,
PCDB-002-247-1,Polymaker,Polymaker HT-PLA,Brown,PLA,,,,
PCDB-002-248-1,Polymaker,Polymaker HT-PLA,Teal,PLA,,,,
PCDB-002-249-1,Polymaker,Polymaker HT-PLA,Gradient Rainbow,PLA,,,,
PCDB-002-250-1,Polymaker,Polymaker HT-PLA,Gradient Tropical,PLA,,,,
PCDB-002-251-1,Polymaker,Polymaker HT-PLA,Gradient Ice,PLA,,,,
